first_day_out,last_day,base_close,lowest_pct,days_to_low,date_of_low,highest_pct,days_to_high,date_of_high,one_year_pct,data_days,truncated,qqq_same_window_pct,excess_vs_qqq_pct,ticker,fetch_ticker,removal_date,source
2007-02-01,2008-02-01,10.6543,-23.86,244,2008-01-22,22.23,77,2007-05-23,-16.71,253,False,3.92,-20.63,CMVT,CMVT,2007-02-01,yfinance
2007-03-08,2008-03-07,16.0293,-43.14,252,2008-03-07,3.33,24,2007-04-12,-43.14,253,False,-1.8,-41.34,AEOS,AEO,2007-03-08,yfinance
2007-12-24,2008-12-23,5.3903,-17.48,9,2008-01-08,60.05,177,2008-09-08,10.9,253,False,-44.17,55.07,ROST,ROST,2007-12-24,yfinance
2007-12-24,2008-12-23,14.1591,-55.06,230,2008-11-20,83.49,124,2008-06-23,-45.77,253,False,-44.17,-1.6,PTEN,PTEN,2007-12-24,yfinance
2007-12-24,2008-12-23,6.991,-49.91,230,2008-11-20,22.77,100,2008-05-19,-34.46,253,False,-44.17,9.71,ERIC,ERIC,2007-12-24,yfinance
2008-05-19,2009-05-19,5.79,-41.45,109,2008-10-22,-1.38,1,2008-05-20,-9.5,253,False,-30.4,20.9,TLAB,TLAB,2008-05-19,yfinance
2008-07-21,2009-07-21,4.99,-36.47,234,2009-06-24,232.46,74,2008-11-03,-25.45,253,False,-14.31,-11.14,UAUA,UAL,2008-07-21,yfinance
2008-12-22,2009-12-22,6.9801,-7.17,40,2009-02-20,137.12,237,2009-12-01,130.31,253,False,55.7,74.61,DISCA,WBD,2008-12-22,yfinance
2008-12-22,2009-12-22,7.3678,-58.69,51,2009-03-09,138.42,252,2009-12-22,138.42,253,False,55.7,82.72,LAMR,LAMR,2008-12-22,yfinance
2008-12-22,2009-12-22,10.75,-23.81,49,2009-03-05,43.72,252,2009-12-22,43.72,253,False,55.7,-11.98,AMLN,AMLN,2008-12-22,yfinance
2008-12-22,2009-12-22,0.9439,-50.0,34,2009-02-11,508.33,168,2009-08-24,375.0,253,False,55.7,319.3,SIRI,SIRI,2008-12-22,yfinance
2008-12-22,2009-12-22,3.29,-2.13,1,2008-12-23,147.72,205,2009-10-15,78.12,253,False,55.7,22.42,CDNS,CDNS,2008-12-22,yfinance
2008-12-22,2009-12-22,4.44,-14.41,18,2009-01-20,289.86,252,2009-12-22,289.86,253,False,55.7,234.16,VMED,VMED,2008-12-22,yfinance
2009-01-20,2010-01-20,7.41,-30.9,35,2009-03-11,136.98,249,2010-01-14,123.75,253,False,65.14,58.61,FMCN,FMCN,2009-01-20,yfinance
