ticker,removal_date,company,analyzed,fate
CMVT,2007-02-01,Comverse Technology,yes,survived
APCC,2007-02-14,American Power Conversion,no,acquired
AEOS,2007-03-08,American Eagle Outfitters,yes,survived
MEDI,2007-06-01,MedImmune,no,acquired
BMET,2007-07-12,Biomet,no,acquired
NLTI,2007-08-27,NTL Incorporated,no,acquired
CDWC,2007-10-08,CDW Corporation,no,acquired
CKFR,2007-12-04,CheckFree Corporation,no,acquired
XMSR,2007-12-24,XM Satellite Radio,no,unknown
SEPR,2007-12-24,Sepracor,no,unknown
ROST,2007-12-24,Ross Stores,yes,survived
PTEN,2007-12-24,Patterson-UTI Energy,yes,survived
ERIC,2007-12-24,LM Ericsson,yes,survived
BEAS,2008-04-30,BEA Systems,no,acquired
TLAB,2008-05-19,Tellabs,yes,survived
UAUA,2008-07-21,UAL Corporation,yes,survived
MNST,2008-11-10,Monster Worldwide,no,unknown
LEAP,2008-12-22,Leap Wireless International,no,unknown
DISCA,2008-12-22,Discovery Communications Class A,yes,survived
LAMR,2008-12-22,Lamar Advertising Company,yes,survived
LVLT,2008-12-22,Level 3 Communications,no,unknown
AMLN,2008-12-22,Amylin Pharmaceuticals,yes,survived
SIRI,2008-12-22,Sirius XM Radio,yes,survived
PETM,2008-12-22,PetSmart,no,unknown
WFMI,2008-12-22,Whole Foods Market,no,unknown
CDNS,2008-12-22,Cadence Design Systems,yes,survived
VMED,2008-12-22,Virgin Media,yes,survived
SNDK,2008-12-22,SanDisk,no,unknown
FMCN,2009-01-20,Focus Media Holding,yes,survived
JAVA,2009-07-17,Sun Microsystems,no,acquired
JNPR,2009-10-29,Juniper Networks,no,unknown
AKAM,2009-12-21,Akamai Technologies,yes,survived
IACI,2009-12-21,IAC/InterActiveCorp,no,unknown
HANS,2009-12-21,Hansen Natural,yes,survived
PPDI,2009-12-21,Pharmaceutical Product Development,no,unknown
RYAAY,2009-12-21,Ryanair,yes,survived
STLD,2009-12-21,Steel Dynamics,yes,survived
LBTYA,2009-12-21,Liberty Global Class A,yes,survived
LOGI,2010-12-20,Logitech,yes,survived
JBHT,2010-12-20,J. B. Hunt,yes,survived
HOLX,2010-12-20,Hologic,no,unknown
FWLT,2010-12-20,Foster Wheeler,no,unknown
