ticker,removal_date,company,reason,include
CMVT,2007-02-01,Comverse Technology,Comverse did not meet the minimum monthly weighting requirements.,1
APCC,2007-02-14,American Power Conversion,APC was acquired by Schneider Electric.,0
AEOS,2007-03-08,American Eagle Outfitters,American Eagle Outfitters transferred its listing from NASDAQ to NYSE.,1
MEDI,2007-06-01,MedImmune,MedImmune was acquired by AstraZeneca.,0
BMET,2007-07-12,Biomet,Biomet was taken private.,0
NLTI,2007-08-27,NTL Incorporated,NTL Incorporated was merged into Virgin Media.,0
CDWC,2007-10-08,CDW Corporation,CDW was taken private.,0
CKFR,2007-12-04,CheckFree Corporation,CheckFree was acquired by Fiserv.,0
XMSR,2007-12-24,XM Satellite Radio,Annual index reconstitution.,1
SEPR,2007-12-24,Sepracor,Annual index reconstitution.,1
ROST,2007-12-24,Ross Stores,Annual index reconstitution.,1
PTEN,2007-12-24,Patterson-UTI Energy,Annual index reconstitution.,1
ERIC,2007-12-24,LM Ericsson,Annual index reconstitution.,1
BEAS,2008-04-30,BEA Systems,BEA Systems was acquired by Oracle.,0
TLAB,2008-05-19,Tellabs,Tellabs did not meet the minimum monthly weighting requirements.,1
UAUA,2008-07-21,UAL Corporation,UAL did not meet the minimum monthly weighting requirements.,1
MNST,2008-11-10,Monster Worldwide,Monster did not meet the minimum monthly weighting requirements.,0
LEAP,2008-12-22,Leap Wireless International,Annual index reconstitution.,1
DISCA,2008-12-22,Discovery Communications Class A,Annual index reconstitution.,1
LAMR,2008-12-22,Lamar Advertising Company,Annual index reconstitution.,1
LVLT,2008-12-22,Level 3 Communications,Annual index reconstitution.,1
AMLN,2008-12-22,Amylin Pharmaceuticals,Annual index reconstitution.,1
SIRI,2008-12-22,Sirius XM Radio,Annual index reconstitution.,1
PETM,2008-12-22,PetSmart,Annual index reconstitution.,1
WFMI,2008-12-22,Whole Foods Market,Annual index reconstitution.,1
CDNS,2008-12-22,Cadence Design Systems,Annual index reconstitution.,1
VMED,2008-12-22,Virgin Media,Annual index reconstitution.,1
SNDK,2008-12-22,SanDisk,Annual index reconstitution.,1
FMCN,2009-01-20,Focus Media Holding,Focus Media did not meet the minimum monthly weight requirements.,1
JAVA,2009-07-17,Sun Microsystems,Sun Microsystems was acquired by Oracle.,0
JNPR,2009-10-29,Juniper Networks,Joy Global transferred its listing from NASDAQ to NYSE.,1
AKAM,2009-12-21,Akamai Technologies,Annual index reconstitution.,1
IACI,2009-12-21,IAC/InterActiveCorp,Annual index reconstitution.,1
HANS,2009-12-21,Hansen Natural,Annual index reconstitution.,1
